RECORD_METADATA,CUSTOMER_ID,CALL_DURATION_MINUTES,CALL_ID,SENTIMENT
"{
  ""CreateTime"": 1687899437361,
  ""offset"": 977,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064046,6,11111194,-0.58
"{
  ""CreateTime"": 1687899438363,
  ""offset"": 978,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064047,7,11111198,-0.94
"{
  ""CreateTime"": 1687899399293,
  ""offset"": 939,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064032,7,11111158,-0.84
"{
  ""CreateTime"": 1687899400295,
  ""offset"": 940,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064032,3,11111156,0.75
"{
  ""CreateTime"": 1687899401297,
  ""offset"": 941,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064032,12,11111157,0.22
"{
  ""CreateTime"": 1687899402298,
  ""offset"": 942,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064033,3,11111161,0.93
"{
  ""CreateTime"": 1687899403300,
  ""offset"": 943,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064033,6,11111159,0.77
"{
  ""CreateTime"": 1687899404302,
  ""offset"": 944,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064033,5,11111160,-0.53
"{
  ""CreateTime"": 1687899405304,
  ""offset"": 945,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064034,6,11111163,-0.36
"{
  ""CreateTime"": 1687899406306,
  ""offset"": 946,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064034,3,11111162,0.70
"{
  ""CreateTime"": 1687899407308,
  ""offset"": 947,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064035,6,11111164,0.49
"{
  ""CreateTime"": 1687899408310,
  ""offset"": 948,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064036,6,11111165,0.85
"{
  ""CreateTime"": 1687899469419,
  ""offset"": 1009,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064057,2,11111224,0.94
"{
  ""CreateTime"": 1687899470421,
  ""offset"": 1010,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064057,3.5,11111220,0.30
"{
  ""CreateTime"": 1687899471423,
  ""offset"": 1011,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064057,6,11111222,-0.72
"{
  ""CreateTime"": 1687899472424,
  ""offset"": 1012,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064058,4,11111229,0.69
"{
  ""CreateTime"": 1687899473427,
  ""offset"": 1013,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064058,3,11111230,0.05
"{
  ""CreateTime"": 1687899474429,
  ""offset"": 1014,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064058,7,11111231,-0.06
"{
  ""CreateTime"": 1687899475431,
  ""offset"": 1015,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064058,3,11111232,0.90
"{
  ""CreateTime"": 1687899476432,
  ""offset"": 1016,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064059,3,11111235,0.87
"{
  ""CreateTime"": 1687899477434,
  ""offset"": 1017,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064059,8,11111233,-0.90
"{
  ""CreateTime"": 1687899478436,
  ""offset"": 1018,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064059,5,11111234,0.15
"{
  ""CreateTime"": 1687899499474,
  ""offset"": 1039,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064067,12,11111256,-0.60
"{
  ""CreateTime"": 1687899500476,
  ""offset"": 1040,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064068,5,11111257,0.47
"{
  ""CreateTime"": 1687899501478,
  ""offset"": 1041,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064069,6,11111258,-0.21
"{
  ""CreateTime"": 1687899502479,
  ""offset"": 1042,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064069,7,11111259,0.10
"{
  ""CreateTime"": 1687899503481,
  ""offset"": 1043,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064070,6,11111260,0.95
"{
  ""CreateTime"": 1687899504483,
  ""offset"": 1044,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064071,4,11111265,-0.25
"{
  ""CreateTime"": 1687899505485,
  ""offset"": 1045,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064071,2,11111263,0.29
"{
  ""CreateTime"": 1687899506487,
  ""offset"": 1046,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064071,6,11111261,-0.06
"{
  ""CreateTime"": 1687899507489,
  ""offset"": 1047,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064071,3,11111264,0.35
"{
  ""CreateTime"": 1687899508491,
  ""offset"": 1048,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064071,7,11111262,0.19
"{
  ""CreateTime"": 1687899489456,
  ""offset"": 1029,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064063,4,11111245,0.02
"{
  ""CreateTime"": 1687899490458,
  ""offset"": 1030,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064064,12,11111247,0.07
"{
  ""CreateTime"": 1687899491460,
  ""offset"": 1031,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064065,4,11111249,0.72
"{
  ""CreateTime"": 1687899492461,
  ""offset"": 1032,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064065,3,11111248,0.65
"{
  ""CreateTime"": 1687899493463,
  ""offset"": 1033,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064065,12,11111250,-0.02
"{
  ""CreateTime"": 1687899494465,
  ""offset"": 1034,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064066,14,11111252,-0.77
"{
  ""CreateTime"": 1687899495467,
  ""offset"": 1035,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064066,6,11111254,0.16
"{
  ""CreateTime"": 1687899496469,
  ""offset"": 1036,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064066,6,11111251,-0.84
"{
  ""CreateTime"": 1687899497471,
  ""offset"": 1037,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064066,10,11111255,0.90
"{
  ""CreateTime"": 1687899498472,
  ""offset"": 1038,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064066,2,11111253,-0.56
"{
  ""CreateTime"": 1687899459401,
  ""offset"": 999,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064055,4,11111214,-0.87
"{
  ""CreateTime"": 1687899460403,
  ""offset"": 1000,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064055,18,11111216,-0.76
"{
  ""CreateTime"": 1687899461404,
  ""offset"": 1001,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064056,4,11111218,0.46
"{
  ""CreateTime"": 1687899462406,
  ""offset"": 1002,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064056,3,11111219,-0.99
"{
  ""CreateTime"": 1687899463407,
  ""offset"": 1003,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064057,4,11111227,-0.70
"{
  ""CreateTime"": 1687899464409,
  ""offset"": 1004,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064057,6,11111226,-0.79
"{
  ""CreateTime"": 1687899465411,
  ""offset"": 1005,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064057,20,11111228,-0.90
"{
  ""CreateTime"": 1687899466413,
  ""offset"": 1006,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064057,3,11111225,0.05
"{
  ""CreateTime"": 1687899467415,
  ""offset"": 1007,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064057,6,11111221,-0.17
"{
  ""CreateTime"": 1687899468417,
  ""offset"": 1008,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064057,7,11111223,-0.14
"{
  ""CreateTime"": 1687899479438,
  ""offset"": 1019,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064060,3,11111239,0.33
"{
  ""CreateTime"": 1687899480440,
  ""offset"": 1020,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064060,2,11111238,0.39
"{
  ""CreateTime"": 1687899481442,
  ""offset"": 1021,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064060,18,11111237,0.09
"{
  ""CreateTime"": 1687899482444,
  ""offset"": 1022,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064060,4,11111236,-0.68
"{
  ""CreateTime"": 1687899483446,
  ""offset"": 1023,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064061,6,11111240,-0.79
"{
  ""CreateTime"": 1687899484447,
  ""offset"": 1024,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064062,14,11111243,-0.32
"{
  ""CreateTime"": 1687899485450,
  ""offset"": 1025,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064062,5,11111241,0.50
"{
  ""CreateTime"": 1687899486451,
  ""offset"": 1026,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064062,6,11111242,-0.35
"{
  ""CreateTime"": 1687899487452,
  ""offset"": 1027,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064062,3,11111244,-0.51
"{
  ""CreateTime"": 1687899488454,
  ""offset"": 1028,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064063,6,11111246,-0.16
"{
  ""CreateTime"": 1687899509493,
  ""offset"": 1049,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064072,3.5,11111266,-0.30
"{
  ""CreateTime"": 1687899510495,
  ""offset"": 1050,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064072,18,11111267,0.06
"{
  ""CreateTime"": 1687899511496,
  ""offset"": 1051,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064073,7,11111268,0.30
"{
  ""CreateTime"": 1687899512497,
  ""offset"": 1052,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064074,4,11111269,0.08
"{
  ""CreateTime"": 1687899513498,
  ""offset"": 1053,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064074,7,11111271,0.81
"{
  ""CreateTime"": 1687899514500,
  ""offset"": 1054,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064074,12,11111270,-0.39
"{
  ""CreateTime"": 1687899515502,
  ""offset"": 1055,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064075,4,11111277,0.08
"{
  ""CreateTime"": 1687899516504,
  ""offset"": 1056,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064075,3,11111276,0.17
"{
  ""CreateTime"": 1687899517506,
  ""offset"": 1057,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064075,3.5,11111272,-0.51
"{
  ""CreateTime"": 1687899518508,
  ""offset"": 1058,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064075,12,11111273,-0.42
"{
  ""CreateTime"": 1687899519510,
  ""offset"": 1059,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064075,6,11111274,0.03
"{
  ""CreateTime"": 1687899520512,
  ""offset"": 1060,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064075,2,11111275,-0.07
"{
  ""CreateTime"": 1687899521514,
  ""offset"": 1061,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064076,8,11111278,0.79
"{
  ""CreateTime"": 1687899522516,
  ""offset"": 1062,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064077,5,11111286,-0.17
"{
  ""CreateTime"": 1687899523517,
  ""offset"": 1063,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064077,4,11111285,0.79
"{
  ""CreateTime"": 1687899524520,
  ""offset"": 1064,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064077,3,11111284,-0.72
"{
  ""CreateTime"": 1687899525522,
  ""offset"": 1065,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064077,3,11111283,-0.61
"{
  ""CreateTime"": 1687899526524,
  ""offset"": 1066,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064077,6,11111280,-0.02
"{
  ""CreateTime"": 1687899527525,
  ""offset"": 1067,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064077,6,11111281,0.88
"{
  ""CreateTime"": 1687899528526,
  ""offset"": 1068,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064077,3.5,11111279,-0.01
"{
  ""CreateTime"": 1687899539546,
  ""offset"": 1079,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064081,6,11111297,-0.36
"{
  ""CreateTime"": 1687899540548,
  ""offset"": 1080,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064081,3.5,11111296,0.61
"{
  ""CreateTime"": 1687899541549,
  ""offset"": 1081,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064081,7,11111298,0.62
"{
  ""CreateTime"": 1687899542551,
  ""offset"": 1082,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064082,10,11111304,-0.88
"{
  ""CreateTime"": 1687899543552,
  ""offset"": 1083,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064082,8,11111303,0.99
"{
  ""CreateTime"": 1687899544553,
  ""offset"": 1084,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064082,7,11111299,0.82
"{
  ""CreateTime"": 1687899545554,
  ""offset"": 1085,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064082,4,11111302,-0.71
"{
  ""CreateTime"": 1687899546556,
  ""offset"": 1086,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064082,6,11111300,0.00
"{
  ""CreateTime"": 1687899547558,
  ""offset"": 1087,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064082,14,11111301,0.01
"{
  ""CreateTime"": 1687899548560,
  ""offset"": 1088,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064083,7,11111306,-0.17
"{
  ""CreateTime"": 1687899529528,
  ""offset"": 1069,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064077,7,11111282,0.14
"{
  ""CreateTime"": 1687899530530,
  ""offset"": 1070,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064078,5,11111287,-0.43
"{
  ""CreateTime"": 1687899531532,
  ""offset"": 1071,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064079,6,11111290,-0.89
"{
  ""CreateTime"": 1687899532534,
  ""offset"": 1072,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064079,9,11111292,-0.46
"{
  ""CreateTime"": 1687899533536,
  ""offset"": 1073,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064079,6,11111289,-0.16
"{
  ""CreateTime"": 1687899534537,
  ""offset"": 1074,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064079,7,11111288,-0.40
"{
  ""CreateTime"": 1687899535539,
  ""offset"": 1075,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064079,10,11111291,0.71
"{
  ""CreateTime"": 1687899536541,
  ""offset"": 1076,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064080,7,11111295,-0.59
"{
  ""CreateTime"": 1687899537543,
  ""offset"": 1077,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064080,4,11111293,-0.72
"{
  ""CreateTime"": 1687899538544,
  ""offset"": 1078,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064080,12,11111294,-0.97
"{
  ""CreateTime"": 1687899549562,
  ""offset"": 1089,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064083,3,11111305,0.74
"{
  ""CreateTime"": 1687899550563,
  ""offset"": 1090,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064084,6,11111307,0.71
"{
  ""CreateTime"": 1687899551565,
  ""offset"": 1091,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064085,8,11111309,0.03
"{
  ""CreateTime"": 1687899552567,
  ""offset"": 1092,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064085,6,11111311,-0.16
"{
  ""CreateTime"": 1687899553569,
  ""offset"": 1093,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064085,3,11111308,-0.29
"{
  ""CreateTime"": 1687899554570,
  ""offset"": 1094,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064085,12,11111310,0.00
"{
  ""CreateTime"": 1687899555572,
  ""offset"": 1095,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064086,3,11111315,0.97
"{
  ""CreateTime"": 1687899556574,
  ""offset"": 1096,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064086,6,11111313,-0.82
"{
  ""CreateTime"": 1687899557576,
  ""offset"": 1097,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064086,4,11111312,-0.36
"{
  ""CreateTime"": 1687899558578,
  ""offset"": 1098,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064086,7,11111314,0.63
"{
  ""CreateTime"": 1687899569596,
  ""offset"": 1109,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064089,4,11111325,0.63
"{
  ""CreateTime"": 1687899570597,
  ""offset"": 1110,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064089,6,11111327,0.47
"{
  ""CreateTime"": 1687899571600,
  ""offset"": 1111,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064090,7,11111329,-0.32
"{
  ""CreateTime"": 1687899572602,
  ""offset"": 1112,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064090,5,11111332,-0.25
"{
  ""CreateTime"": 1687899573604,
  ""offset"": 1113,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064090,3,11111330,0.41
"{
  ""CreateTime"": 1687899574606,
  ""offset"": 1114,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064090,8,11111331,0.76
"{
  ""CreateTime"": 1687899575608,
  ""offset"": 1115,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064090,6,11111328,0.91
"{
  ""CreateTime"": 1687899576610,
  ""offset"": 1116,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064091,3,11111333,0.44
"{
  ""CreateTime"": 1687899577612,
  ""offset"": 1117,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064091,6,11111334,0.59
"{
  ""CreateTime"": 1687899578614,
  ""offset"": 1118,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064092,14,11111336,0.78
"{
  ""CreateTime"": 1687899559579,
  ""offset"": 1099,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064087,7,11111317,0.70
"{
  ""CreateTime"": 1687899560581,
  ""offset"": 1100,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064087,2,11111318,-0.38
"{
  ""CreateTime"": 1687899561583,
  ""offset"": 1101,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064087,4,11111316,0.47
"{
  ""CreateTime"": 1687899562585,
  ""offset"": 1102,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064088,7,11111319,0.89
"{
  ""CreateTime"": 1687899563586,
  ""offset"": 1103,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064089,2,11111323,0.69
"{
  ""CreateTime"": 1687899564589,
  ""offset"": 1104,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064089,14,11111322,-0.82
"{
  ""CreateTime"": 1687899565591,
  ""offset"": 1105,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064089,6,11111321,0.05
"{
  ""CreateTime"": 1687899566592,
  ""offset"": 1106,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064089,3,11111324,-0.07
"{
  ""CreateTime"": 1687899567593,
  ""offset"": 1107,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064089,7,11111320,-0.63
"{
  ""CreateTime"": 1687899568595,
  ""offset"": 1108,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064089,5,11111326,-0.33
"{
  ""CreateTime"": 1687899579615,
  ""offset"": 1119,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064092,4,11111335,-0.09
"{
  ""CreateTime"": 1687899580617,
  ""offset"": 1120,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064093,7,11111339,-0.32
"{
  ""CreateTime"": 1687899581619,
  ""offset"": 1121,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064093,6,11111338,0.18
"{
  ""CreateTime"": 1687899582621,
  ""offset"": 1122,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064093,3,11111337,0.79
"{
  ""CreateTime"": 1687899583623,
  ""offset"": 1123,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064093,3,11111340,-0.37
"{
  ""CreateTime"": 1687899584625,
  ""offset"": 1124,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064094,4,11111341,-0.30
"{
  ""CreateTime"": 1687899585626,
  ""offset"": 1125,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064095,9,11111342,0.23
"{
  ""CreateTime"": 1687899586628,
  ""offset"": 1126,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064096,12,11111344,-0.02
"{
  ""CreateTime"": 1687899587630,
  ""offset"": 1127,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064096,3,11111343,-0.13
"{
  ""CreateTime"": 1687899588631,
  ""offset"": 1128,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064097,7,11111345,-0.15
"{
  ""CreateTime"": 1687899599649,
  ""offset"": 1139,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064099,3,11111357,0.40
"{
  ""CreateTime"": 1687899600651,
  ""offset"": 1140,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064099,8,11111356,-0.26
"{
  ""CreateTime"": 1687899601653,
  ""offset"": 1141,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064100,6,11111359,0.60
"{
  ""CreateTime"": 1687899602655,
  ""offset"": 1142,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064100,4,11111358,0.57
"{
  ""CreateTime"": 1687899603656,
  ""offset"": 1143,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064101,6,11111360,-0.60
"{
  ""CreateTime"": 1687899604657,
  ""offset"": 1144,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064102,8,11111361,-0.25
"{
  ""CreateTime"": 1687899605659,
  ""offset"": 1145,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064102,10,11111362,0.44
"{
  ""CreateTime"": 1687899606661,
  ""offset"": 1146,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064103,5,11111364,-0.24
"{
  ""CreateTime"": 1687899607663,
  ""offset"": 1147,
  ""partition"": 0,
  ""topic"": ""calls""
}",4064103,3.5,11111365,-0.48
